lat,lon,,,,datetime
40.008304,116.319876,0,492,39745.0902662037,2008-10-24 02:09:59
40.008413,116.319962,0,491,39745.0903240741,2008-10-24 02:10:04
40.007171,116.319458,0,-46,39745.0903819444,2008-10-24 02:10:09
40.007209,116.319484,0,-48,39745.0904398148,2008-10-24 02:10:14
40.007287,116.31959,0,-41,39745.0904976852,2008-10-24 02:10:19
40.007366,116.319727,0,-40,39745.0905555556,2008-10-24 02:10:24
40.007429,116.319873,0,-39,39745.0906134259,2008-10-24 02:10:29
40.007499,116.320013,0,-39,39745.0906712963,2008-10-24 02:10:34
40.007514,116.320165,0,-39,39745.0907291667,2008-10-24 02:10:39
40.007578,116.320176,0,-40,39745.090787037,2008-10-24 02:10:44
40.007694,116.320214,0,-38,39745.0908449074,2008-10-24 02:10:49
40.007739,116.320357,0,-39,39745.0909027778,2008-10-24 02:10:54
40.007834,116.320544,0,-20,39745.0909606481,2008-10-24 02:10:59
40.007907,116.320708,0,-12,39745.0910185185,2008-10-24 02:11:04
40.007941,116.320861,0,-14,39745.0910763889,2008-10-24 02:11:09
40.007989,116.320989,0,-14,39745.0911342593,2008-10-24 02:11:14
40.008131,116.321041,0,-11,39745.0911921296,2008-10-24 02:11:19
40.008316,116.321118,0,28,39745.09125,2008-10-24 02:11:24
40.008486,116.321152,0,63,39745.0913078704,2008-10-24 02:11:29
40.00861,116.321191,0,71,39745.0913657407,2008-10-24 02:11:34
40.008716,116.321251,0,77,39745.0914236111,2008-10-24 02:11:39
40.008816,116.321301,0,82,39745.0914814815,2008-10-24 02:11:44
40.008875,116.321349,0,80,39745.0915393519,2008-10-24 02:11:49
40.008912,116.321366,0,79,39745.0915972222,2008-10-24 02:11:54
40.008912,116.321366,0,79,39745.0916319444,2008-10-24 02:11:57
40.008915,116.321366,0,77,39745.0916550926,2008-10-24 02:11:59
40.008921,116.321375,0,77,39745.091712963,2008-10-24 02:12:04
40.008931,116.321385,0,77,39745.0917708333,2008-10-24 02:12:09
40.00894,116.321394,0,78,39745.0918287037,2008-10-24 02:12:14
40.008948,116.321401,0,78,39745.0918865741,2008-10-24 02:12:19
40.008951,116.321405,0,79,39745.0919444444,2008-10-24 02:12:24
40.008951,116.321405,0,79,39745.0919791667,2008-10-24 02:12:27
40.008951,116.321408,0,79,39745.0920023148,2008-10-24 02:12:29
40.008946,116.321438,0,80,39745.0920601852,2008-10-24 02:12:34
40.008954,116.321506,0,82,39745.0921180556,2008-10-24 02:12:39
40.008943,116.321554,0,82,39745.0921759259,2008-10-24 02:12:44
40.008924,116.32159,0,83,39745.0922337963,2008-10-24 02:12:49
40.008968,116.321514,0,80,39745.0922916667,2008-10-24 02:12:54
40.008999,116.321465,0,78,39745.092349537,2008-10-24 02:12:59
40.009019,116.321433,0,78,39745.0924074074,2008-10-24 02:13:04
40.009052,116.321394,0,79,39745.0924652778,2008-10-24 02:13:09
40.009085,116.321351,0,82,39745.0925231481,2008-10-24 02:13:14
40.009086,116.321348,0,82,39745.0925810185,2008-10-24 02:13:19
40.009086,116.321346,0,82,39745.0926388889,2008-10-24 02:13:24
40.009089,116.321346,0,82,39745.0926967593,2008-10-24 02:13:29
40.009089,116.321345,0,82,39745.0927546296,2008-10-24 02:13:34
40.009089,116.321346,0,83,39745.0928125,2008-10-24 02:13:39
40.009088,116.321346,0,83,39745.0928703704,2008-10-24 02:13:44
